# Sourced from: https://github.com/patrickmccallum/mimetype-io/pull/68
#
# Changes:
# - Removed: `gcode`
# - Removed file extensions crossovers from: `image/heic`, `image/heic-sequence`, `image/heif`, `image/heif-sequence`
# - This file is sorted alphabetically, except that all `application` types have been moved to the bottom of this file
#   and certain MIME types that share a file extension with another MIME type have been moved to the top of this file to
#   act as a higher preference when mapping a file extension to its MIME type.

application/xml	xml xpdl xsl
application/vnd.apple.numbers	numbers
application/vnd.apple.pages	pages
application/vnd.arastra.swi	swi
application/vnd.aristanetworks.swi	swi
application/vnd.artisan+json	artisan
application/vnd.astraea-software.iota	iota
application/vnd.audiograph	aep
application/vnd.autopackage	package
application/vnd.avalon+json	json
application/vnd.avistar+xml	xml
application/vnd.balsamiq.bmml+xml	bmml
application/vnd.balsamiq.bmpr	bmpr
application/vnd.banana-accounting	ac2
application/vnd.bekitzur-stech+json	json
application/vnd.belightsoft.lhzd+zip	lhzd
application/vnd.belightsoft.lhzl+zip	lhzl
application/vnd.biopax.rdf+xml	owl
application/vnd.blueice.multipass	mpm
application/vnd.bluetooth.ep.oob	ep
application/vnd.bluetooth.le.oob	le
application/vnd.bmi	bmi
application/vnd.bpf	bpf
application/vnd.bpf3	bpf
application/vnd.businessobjects	rep
application/vnd.byu.uapi+json	json
application/vnd.bzip3	bz3
application/vnd.c3voc.schedule+xml	xml
application/vnd.capasystems-pg+json	json
application/vnd.cel	cel
application/vnd.cendio.thinlinc.clientconf	tlclient
application/vnd.chemdraw+xml	cdxml
application/vnd.chess-pgn	pgn
application/vnd.chipnuts.karaoke-mmd	mmd
application/vnd.cinderella	cdy
application/vnd.citationstyles.style+xml	csl
application/vnd.claymore	cla
application/vnd.cloanto.rp9	rp9
application/vnd.clonk.c4group	c4d c4f c4g c4p c4u
application/vnd.cluetrust.cartomobile-config	c11amc
application/vnd.cluetrust.cartomobile-config-pkg	c11amz
application/vnd.cncf.helm.chart.provenance.v1.prov	text
application/vnd.cncf.helm.config.v1+json	json
application/vnd.coffeescript	coffee
application/vnd.collabio.xodocuments.document	xodt
application/vnd.collabio.xodocuments.document-template	xott
application/vnd.collabio.xodocuments.presentation	xodp
application/vnd.collabio.xodocuments.presentation-template	xotp
application/vnd.collabio.xodocuments.spreadsheet	xods
application/vnd.collabio.xodocuments.spreadsheet-template	xots
application/vnd.collection+json	json
application/vnd.collection.doc+json	json
application/vnd.collection.next+json	json
application/vnd.comicbook+zip	cbz
application/vnd.comicbook-rar	cbr
application/vnd.commerce-battelle	ica icc icd icf
application/vnd.commonspace	csp
application/vnd.contact.cmsg	cdbcmsg
application/vnd.coreos.ignition+json	ign ignition
application/vnd.cosmocaller	cmc
application/vnd.crick.clicker	clkx
application/vnd.crick.clicker.keyboard	clkk
application/vnd.crick.clicker.palette	clkp
application/vnd.crick.clicker.template	clkt
application/vnd.crick.clicker.wordbank	clkw
application/vnd.criticaltools.wbs+xml	wbs
application/vnd.cryptii.pipe+json	json
application/vnd.crypto-shade-file	ssv ssvc
application/vnd.cryptomator.encrypted	c9r c9s
application/vnd.cryptomator.vault	cryptomator
application/vnd.ctc-posml	pml
application/vnd.cups-ppd	ppd
application/vnd.curl	curl
application/vnd.curl.car	car
application/vnd.curl.pcurl	pcurl
application/vnd.cyan.dean.root+xml	xml
application/vnd.cyclonedx+json	json
application/vnd.cyclonedx+xml	xml
application/vnd.d3m-dataset	json
application/vnd.d3m-problem	json
application/vnd.dart	dart
application/vnd.data-vision.rdz	rdz
application/vnd.datalog	dl
application/vnd.datapackage+json	json
application/vnd.dataresource+json	json
application/vnd.dbf	dbf
application/vnd.dcmp+xml	dcmp
application/vnd.debian.binary-package	deb udeb
application/vnd.dece.data	uvd uvf uvvd uvvf
application/vnd.dece.ttml+xml	uvt uvvt
application/vnd.dece.unspecified	uvvx uvx
application/vnd.dece.zip	uvvz uvz
application/vnd.denovo.fcselayout-link	fe_launch
application/vnd.desmume.movie	dsm
application/vnd.dna	dna
application/vnd.document+json	docjson
application/vnd.dolby.mlp	mlp
application/vnd.doremir.scorecloud-binary-document	scld
application/vnd.dpgraph	dpg
application/vnd.dreamfactory	dfac
application/vnd.drive+json	json
application/vnd.ds-keypoint	kpxx
application/vnd.dtg.local.flash	fla
application/vnd.dtg.local.html	html
application/vnd.dvb.ait	ait
application/vnd.dvb.dvbj	class
application/vnd.dvb.pfr	pfr
application/vnd.dvb.service	svc
application/vnd.dxr	dxr
application/vnd.dynageo	geo
application/vnd.dzr	dzr
application/vnd.easykaraoke.cdgdownload	zip
application/vnd.eclipse.ditto+json	json
application/vnd.ecowin.chart	mag
application/vnd.efi.img	img
application/vnd.efi.iso	iso
application/vnd.eln+zip	eln
application/vnd.enliven	nml
application/vnd.eprints.data+xml	xml
application/vnd.epson.esf	esf
application/vnd.epson.msf	msf
application/vnd.epson.quickanime	qam
application/vnd.epson.salt	slt
application/vnd.epson.ssf	ssf
application/vnd.ericsson.quickcall	qca qcall
application/vnd.erofs	0fs erofs
application/vnd.espass-espass+zip	espass
application/vnd.eszigno3+xml	es3 et3
application/vnd.etsi.asic-e+zip	asice sce
application/vnd.etsi.asic-s+zip	asics scs
application/vnd.etsi.pstn+xml	xml
application/vnd.etsi.timestamp-token	tst
